"@timestamp",response,"error_message","x-stream-client","operation_type","error_code",product
"Jun 15, 2025 @ 00:07:56.299",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone14,3|device_screen_ratio=3.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.297",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.26.0|app=NotificationServiceExtension|app_version=5.36.1|os=iOS 18.5|device_model=iPhone12,1|device_screen_ratio=2.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.294",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-91f684e416b86a31955d4c6f64f32929f2d56a1265c5dc961f71243c4698506f7baad72339dd0e900590169ef617568bfc86f82d does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:07:56.294",404,"{""code"":16,""message"":""QueryChannels failed with error: \""the user 99468939-bfeb-47de-a56e-d16555011e40 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.26.2",QueryChannels,16,chat
"Jun 15, 2025 @ 00:07:56.293",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone15,5|device_screen_ratio=3.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.285",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone17,2|device_screen_ratio=3.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.280",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.12.0|os=iOS 18.5|device_model=iPad12,2|device_screen_ratio=2.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.278",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone14,7|device_screen_ratio=3.00",GetMessage,9,chat
"Jun 15, 2025 @ 00:07:56.277",400,"{""code"":4,""message"":""GetOrCreateChannel failed with error: \""Cannot create a channel with a '!' in the ID, this is a reserved character.\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-compose-6.9.0|os=Android 15|api_version=35|device_vendor=samsung|device_model=SM-S918U|offline_enabled=true",GetOrCreateChannel,4,chat
"Jun 15, 2025 @ 00:07:56.274",429,"{""code"":9,""message"":""GetMessage failed with error: \""Too many requests, check response headers for more information.\"""",""StatusCode"":429,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-swift-client-v4.72.0|app=NotificationServiceExtension|app_version=2025.11.1|os=iOS 18.5|device_model=iPhone17,1|device_screen_ratio=3.00",GetMessage,9,chat
